Título;Rendimento anual do título;Preço unitário de resgate;Vencimento do Título
Tesouro Selic 2027;SELIC + 0,012%;R$ 19.843,33;01/03/2027
Tesouro Selic 2028;SELIC + 0,0221%;R$ 19.838,01;01/03/2028
Tesouro Selic 2029;SELIC + 0,0388%;R$ 19.825,61;01/03/2029
Tesouro Selic 2031;SELIC + 0,083%;R$ 19.771,57;01/03/2031
Tesouro Prefixado com Juros Semestrais 2027;13,45%;R$ 1.009,13;01/01/2027
Tesouro Prefixado 2027;13,67%;R$ 961,60;01/01/2027
Tesouro Prefixado 2028;13,73%;R$ 845,81;01/01/2028
Tesouro Prefixado com Juros Semestrais 2029;13,78%;R$ 951,76;01/01/2029
Tesouro Prefixado 2029;13,99%;R$ 741,34;01/01/2029
Tesouro Prefixado com Juros Semestrais 2031;14,26%;R$ 894,32;01/01/2031
Tesouro Prefixado 2031;14,24%;R$ 566,10;01/01/2031
Tesouro Prefixado 2032;14,33%;R$ 493,48;01/01/2032
Tesouro Prefixado com Juros Semestrais 2033;14,37%;R$ 852,01;01/01/2033
Tesouro Prefixado com Juros Semestrais 2035;14,38%;R$ 822,46;01/01/2035
Tesouro Prefixado com Juros Semestrais 2037;14,38%;R$ 799,69;01/01/2037
Tesouro IPCA+ 2029;IPCA + 7,79%;R$ 3.879,52;15/05/2029
Tesouro IPCA+ com Juros Semestrais 2030;IPCA + 7,89%;R$ 4.473,87;15/08/2030
Tesouro IPCA+ 2032;IPCA + 7,88%;R$ 3.026,15;15/08/2032
Tesouro IPCA+ com Juros Semestrais 2032;IPCA + 7,87%;R$ 4.360,76;15/08/2032
Tesouro IPCA+ 2035;IPCA + 7,71%;R$ 2.495,28;15/05/2035
Tesouro IPCA+ com Juros Semestrais 2035;IPCA + 7,73%;R$ 4.339,87;15/05/2035
Tesouro IPCA+ com Juros Semestrais 2037;IPCA + 7,62%;R$ 4.299,28;15/05/2037
Tesouro IPCA+ 2040;IPCA + 7,42%;R$ 1.755,91;15/08/2040
Tesouro IPCA+ com Juros Semestrais 2040;IPCA + 7,51%;R$ 4.172,35;15/08/2040
Tesouro IPCA+ 2045;IPCA + 7,44%;R$ 1.249,05;15/05/2045
Tesouro IPCA+ com Juros Semestrais 2045;IPCA + 7,51%;R$ 4.146,57;15/05/2045
Tesouro IPCA+ 2050;IPCA + 7,45%;R$ 857,01;15/08/2050
Tesouro IPCA+ com Juros Semestrais 2050;IPCA + 7,51%;R$ 4.001,14;15/08/2050
Tesouro IPCA+ com Juros Semestrais 2055;IPCA + 7,44%;R$ 4.057,24;15/05/2055
Tesouro IPCA+ com Juros Semestrais 2060;IPCA + 7,45%;R$ 3.946,11;15/08/2060
Tesouro Renda+ Aposentadoria Extra 2030;IPCA + 7,55%;R$ 1.969,66;15/12/2049
Tesouro Renda+ Aposentadoria Extra 2035;IPCA + 7,46%;R$ 1.390,17;15/12/2054
Tesouro Renda+ Aposentadoria Extra 2040;IPCA + 7,40%;R$ 983,59;15/12/2059
Tesouro Renda+ Aposentadoria Extra 2045;IPCA + 7,37%;R$ 694,92;15/12/2064
Tesouro Renda+ Aposentadoria Extra 2050;IPCA + 7,34%;R$ 492,27;15/12/2069
Tesouro Renda+ Aposentadoria Extra 2055;IPCA + 7,32%;R$ 348,50;15/12/2074
Tesouro Renda+ Aposentadoria Extra 2060;IPCA + 7,33%;R$ 244,36;15/12/2079
Tesouro Renda+ Aposentadoria Extra 2065;IPCA + 7,33%;R$ 171,94;15/12/2084
Tesouro Educa+ 2026;IPCA + 7,72%;R$ 3.518,13;15/12/2030
Tesouro Educa+ 2027;IPCA + 7,78%;R$ 3.864,34;15/12/2031
Tesouro Educa+ 2028;IPCA + 7,85%;R$ 3.578,53;15/12/2032
Tesouro Educa+ 2029;IPCA + 7,87%;R$ 3.316,74;15/12/2033
Tesouro Educa+ 2030;IPCA + 7,85%;R$ 3.078,78;15/12/2034
Tesouro Educa+ 2031;IPCA + 7,81%;R$ 2.862,59;15/12/2035
Tesouro Educa+ 2032;IPCA + 7,75%;R$ 2.667,51;15/12/2036
Tesouro Educa+ 2033;IPCA + 7,69%;R$ 2.488,67;15/12/2037
Tesouro Educa+ 2034;IPCA + 7,63%;R$ 2.324,83;15/12/2038
Tesouro Educa+ 2035;IPCA + 7,57%;R$ 2.174,13;15/12/2039
Tesouro Educa+ 2036;IPCA + 7,51%;R$ 2.034,99;15/12/2040
Tesouro Educa+ 2037;IPCA + 7,48%;R$ 1.900,13;15/12/2041
Tesouro Educa+ 2038;IPCA + 7,45%;R$ 1.775,22;15/12/2042
Tesouro Educa+ 2039;IPCA + 7,44%;R$ 1.654,79;15/12/2043
Tesouro Educa+ 2040;IPCA + 7,43%;R$ 1.542,94;15/12/2044
Tesouro Educa+ 2041;IPCA + 7,43%;R$ 1.436,82;15/12/2045
Tesouro Educa+ 2042;IPCA + 7,44%;R$ 1.335,90;15/12/2046
Tesouro Educa+ 2043;IPCA + 7,44%;R$ 1.244,09;15/12/2047
Tesouro Educa+ 2044;IPCA + 7,44%;R$ 1.158,59;15/12/2048
Tesouro IGPM+ com Juros Semestrais 2031;IGP-M + 7,99%;R$ 7.651,88;01/01/2031
Tesouro Reserva 2036;SELIC;R$ 10,966362;01/01/2036
