Título;Rendimento anual do título;Investimento mínimo;Preço unitário de investimento;Vencimento do Título
Tesouro Selic 2028;SELIC + 0,0443%;R$ 181,88;R$ 18.188,89;01/03/2028
Tesouro Selic 2031;SELIC + 0,0992%;R$ 181,14;R$ 18.114,50;01/03/2031
Tesouro Prefixado 2028;13,04%;R$ 7,88;R$ 788,32;01/01/2028
Tesouro Prefixado 2032;13,64%;R$ 4,69;R$ 469,52;01/01/2032
Tesouro Prefixado com Juros Semestrais 2035;13,73%;R$ 8,27;R$ 827,49;01/01/2035
Tesouro IPCA+ 2029;IPCA + 7,94%;R$ 35,68;R$ 3.568,84;15/05/2029
Tesouro IPCA+ com Juros Semestrais 2035;IPCA + 7,66%;R$ 41,63;R$ 4.163,50;15/05/2035
Tesouro IPCA+ 2040;IPCA + 7,35%;R$ 16,41;R$ 1.641,69;15/08/2040
Tesouro IPCA+ com Juros Semestrais 2045;IPCA + 7,36%;R$ 40,32;R$ 4.032,05;15/05/2045
Tesouro IPCA+ 2050;IPCA + 7,10%;R$ 8,59;R$ 859,40;15/08/2050
Tesouro IPCA+ com Juros Semestrais 2060;IPCA + 7,28%;R$ 40,01;R$ 4.001,07;15/08/2060
Tesouro Renda+ Aposentadoria Extra 2030;IPCA + 7,40%;R$ 18,52;R$ 1.852,47;15/12/2049
Tesouro Renda+ Aposentadoria Extra 2035;IPCA + 7,25%;R$ 13,29;R$ 1.329,61;15/12/2054
Tesouro Renda+ Aposentadoria Extra 2040;IPCA + 7,15%;R$ 9,58;R$ 958,02;15/12/2059
Tesouro Renda+ Aposentadoria Extra 2045;IPCA + 7,10%;R$ 6,88;R$ 688,29;15/12/2064
Tesouro Renda+ Aposentadoria Extra 2050;IPCA + 7,08%;R$ 4,92;R$ 492,36;15/12/2069
Tesouro Renda+ Aposentadoria Extra 2055;IPCA + 7,10%;R$ 3,48;R$ 348,07;15/12/2074
Tesouro Renda+ Aposentadoria Extra 2060;IPCA + 7,12%;R$ 2,45;R$ 245,59;15/12/2079
Tesouro Renda+ Aposentadoria Extra 2065;IPCA + 7,12%;R$ 1,74;R$ 174,49;15/12/2084
Tesouro Educa+ 2027;IPCA + 7,97%;R$ 35,50;R$ 3.550,90;15/12/2031
Tesouro Educa+ 2028;IPCA + 7,89%;R$ 33,00;R$ 3.300,64;15/12/2032
Tesouro Educa+ 2029;IPCA + 7,83%;R$ 30,69;R$ 3.069,62;15/12/2033
Tesouro Educa+ 2030;IPCA + 7,78%;R$ 28,55;R$ 2.855,74;15/12/2034
Tesouro Educa+ 2031;IPCA + 7,72%;R$ 26,61;R$ 2.661,14;15/12/2035
Tesouro Educa+ 2032;IPCA + 7,66%;R$ 24,82;R$ 2.482,75;15/12/2036
Tesouro Educa+ 2033;IPCA + 7,59%;R$ 23,21;R$ 2.321,06;15/12/2037
Tesouro Educa+ 2034;IPCA + 7,53%;R$ 21,71;R$ 2.171,03;15/12/2038
Tesouro Educa+ 2035;IPCA + 7,48%;R$ 20,30;R$ 2.030,79;15/12/2039
Tesouro Educa+ 2036;IPCA + 7,43%;R$ 19,00;R$ 1.900,93;15/12/2040
Tesouro Educa+ 2037;IPCA + 7,39%;R$ 17,78;R$ 1.778,78;15/12/2041
Tesouro Educa+ 2038;IPCA + 7,35%;R$ 16,65;R$ 1.665,74;15/12/2042
Tesouro Educa+ 2039;IPCA + 7,32%;R$ 15,58;R$ 1.558,69;15/12/2043
Tesouro Educa+ 2040;IPCA + 7,28%;R$ 14,61;R$ 1.461,65;15/12/2044
Tesouro Educa+ 2041;IPCA + 7,25%;R$ 13,69;R$ 1.369,58;15/12/2045
Tesouro Educa+ 2042;IPCA + 7,22%;R$ 12,84;R$ 1.284,11;15/12/2046
Tesouro Educa+ 2043;IPCA + 7,20%;R$ 12,02;R$ 1.202,59;15/12/2047
