Título;Rendimento anual do título;Preço unitário de resgate;Vencimento do Título
Tesouro Selic 2027;SELIC + 0,006%;R$ 19.721,20;01/03/2027
Tesouro Selic 2028;SELIC + 0,0203%;R$ 19.715,76;01/03/2028
Tesouro Selic 2029;SELIC + 0,0378%;R$ 19.703,24;01/03/2029
Tesouro Selic 2031;SELIC + 0,0833%;R$ 19.648,37;01/03/2031
Tesouro Prefixado com Juros Semestrais 2027;13,55%;R$ 1.002,77;01/01/2027
Tesouro Prefixado 2027;13,70%;R$ 955,66;01/01/2027
Tesouro Prefixado 2028;13,95%;R$ 838,45;01/01/2028
Tesouro Prefixado com Juros Semestrais 2029;14,11%;R$ 940,18;01/01/2029
Tesouro Prefixado 2029;14,29%;R$ 732,22;01/01/2029
Tesouro Prefixado com Juros Semestrais 2031;14,60%;R$ 879,44;01/01/2031
Tesouro Prefixado 2031;14,59%;R$ 555,13;01/01/2031
Tesouro Prefixado 2032;14,69%;R$ 482,21;01/01/2032
Tesouro Prefixado com Juros Semestrais 2033;14,73%;R$ 834,41;01/01/2033
Tesouro Prefixado com Juros Semestrais 2035;14,75%;R$ 802,99;01/01/2035
Tesouro Prefixado com Juros Semestrais 2037;14,71%;R$ 780,84;01/01/2037
Tesouro IPCA+ 2029;IPCA + 8,06%;R$ 3.846,52;15/05/2029
Tesouro IPCA+ com Juros Semestrais 2030;IPCA + 8,11%;R$ 4.433,45;15/08/2030
Tesouro IPCA+ 2032;IPCA + 8,08%;R$ 2.987,53;15/08/2032
Tesouro IPCA+ com Juros Semestrais 2032;IPCA + 8,08%;R$ 4.310,36;15/08/2032
Tesouro IPCA+ 2035;IPCA + 7,97%;R$ 2.439,39;15/05/2035
Tesouro IPCA+ com Juros Semestrais 2035;IPCA + 7,99%;R$ 4.263,32;15/05/2035
Tesouro IPCA+ com Juros Semestrais 2037;IPCA + 7,82%;R$ 4.230,93;15/05/2037
Tesouro IPCA+ 2040;IPCA + 7,61%;R$ 1.710,51;15/08/2040
Tesouro IPCA+ com Juros Semestrais 2040;IPCA + 7,71%;R$ 4.094,12;15/08/2040
Tesouro IPCA+ 2045;IPCA + 7,47%;R$ 1.240,54;15/05/2045
Tesouro IPCA+ com Juros Semestrais 2045;IPCA + 7,61%;R$ 4.098,78;15/05/2045
Tesouro IPCA+ 2050;IPCA + 7,43%;R$ 859,40;15/08/2050
Tesouro IPCA+ com Juros Semestrais 2050;IPCA + 7,58%;R$ 3.963,32;15/08/2050
Tesouro IPCA+ com Juros Semestrais 2055;IPCA + 7,49%;R$ 4.026,98;15/05/2055
Tesouro IPCA+ com Juros Semestrais 2060;IPCA + 7,49%;R$ 3.920,17;15/08/2060
Tesouro Renda+ Aposentadoria Extra 2030;IPCA + 7,69%;R$ 1.938,57;15/12/2049
Tesouro Renda+ Aposentadoria Extra 2035;IPCA + 7,54%;R$ 1.371,51;15/12/2054
Tesouro Renda+ Aposentadoria Extra 2040;IPCA + 7,41%;R$ 980,08;15/12/2059
Tesouro Renda+ Aposentadoria Extra 2045;IPCA + 7,34%;R$ 698,84;15/12/2064
Tesouro Renda+ Aposentadoria Extra 2050;IPCA + 7,28%;R$ 500,04;15/12/2069
Tesouro Renda+ Aposentadoria Extra 2055;IPCA + 7,25%;R$ 356,19;15/12/2074
Tesouro Renda+ Aposentadoria Extra 2060;IPCA + 7,26%;R$ 250,56;15/12/2079
Tesouro Renda+ Aposentadoria Extra 2065;IPCA + 7,26%;R$ 176,87;15/12/2084
Tesouro Educa+ 2026;IPCA + 8,03%;R$ 3.491,29;15/12/2030
Tesouro Educa+ 2027;IPCA + 8,05%;R$ 3.831,71;15/12/2031
Tesouro Educa+ 2028;IPCA + 8,09%;R$ 3.543,02;15/12/2032
Tesouro Educa+ 2029;IPCA + 8,08%;R$ 3.280,80;15/12/2033
Tesouro Educa+ 2030;IPCA + 8,06%;R$ 3.039,54;15/12/2034
Tesouro Educa+ 2031;IPCA + 8,03%;R$ 2.818,93;15/12/2035
Tesouro Educa+ 2032;IPCA + 7,98%;R$ 2.619,69;15/12/2036
Tesouro Educa+ 2033;IPCA + 7,91%;R$ 2.440,87;15/12/2037
Tesouro Educa+ 2034;IPCA + 7,84%;R$ 2.277,63;15/12/2038
Tesouro Educa+ 2035;IPCA + 7,77%;R$ 2.128,00;15/12/2039
Tesouro Educa+ 2036;IPCA + 7,71%;R$ 1.988,16;15/12/2040
Tesouro Educa+ 2037;IPCA + 7,65%;R$ 1.859,51;15/12/2041
Tesouro Educa+ 2038;IPCA + 7,61%;R$ 1.736,74;15/12/2042
Tesouro Educa+ 2039;IPCA + 7,58%;R$ 1.620,93;15/12/2043
Tesouro Educa+ 2040;IPCA + 7,55%;R$ 1.513,81;15/12/2044
Tesouro Educa+ 2041;IPCA + 7,52%;R$ 1.414,65;15/12/2045
Tesouro Educa+ 2042;IPCA + 7,49%;R$ 1.322,83;15/12/2046
Tesouro Educa+ 2043;IPCA + 7,47%;R$ 1.235,61;15/12/2047
Tesouro Educa+ 2044;IPCA + 7,46%;R$ 1.152,48;15/12/2048
Tesouro IGPM+ com Juros Semestrais 2031;IGP-M + 8,08%;R$ 7.598,42;01/01/2031
Tesouro Reserva 2036;SELIC;R$ 10,898607;01/01/2036
