Título;Rendimento anual do título;Preço unitário de resgate;Vencimento do Título
Tesouro Selic 2027;SELIC + 0,0102%;R$ 19.812,68;01/03/2027
Tesouro Selic 2028;SELIC + 0,0207%;R$ 19.807,59;01/03/2028
Tesouro Selic 2029;SELIC + 0,0377%;R$ 19.795,28;01/03/2029
Tesouro Selic 2031;SELIC + 0,083%;R$ 19.740,70;01/03/2031
Tesouro Prefixado com Juros Semestrais 2027;13,46%;R$ 1.007,59;01/01/2027
Tesouro Prefixado 2027;13,61%;R$ 960,30;01/01/2027
Tesouro Prefixado 2028;13,72%;R$ 844,61;01/01/2028
Tesouro Prefixado com Juros Semestrais 2029;13,87%;R$ 948,75;01/01/2029
Tesouro Prefixado 2029;14,06%;R$ 739,14;01/01/2029
Tesouro Prefixado com Juros Semestrais 2031;14,35%;R$ 890,46;01/01/2031
Tesouro Prefixado 2031;14,33%;R$ 563,30;01/01/2031
Tesouro Prefixado 2032;14,43%;R$ 490,42;01/01/2032
Tesouro Prefixado com Juros Semestrais 2033;14,47%;R$ 847,25;01/01/2033
Tesouro Prefixado com Juros Semestrais 2035;14,49%;R$ 816,89;01/01/2035
Tesouro Prefixado com Juros Semestrais 2037;14,48%;R$ 794,21;01/01/2037
Tesouro IPCA+ 2029;IPCA + 7,92%;R$ 3.865,75;15/05/2029
Tesouro IPCA+ com Juros Semestrais 2030;IPCA + 8,05%;R$ 4.449,02;15/08/2030
Tesouro IPCA+ 2032;IPCA + 8,02%;R$ 3.001,99;15/08/2032
Tesouro IPCA+ com Juros Semestrais 2032;IPCA + 8,01%;R$ 4.331,02;15/08/2032
Tesouro IPCA+ 2035;IPCA + 7,78%;R$ 2.480,48;15/05/2035
Tesouro IPCA+ com Juros Semestrais 2035;IPCA + 7,81%;R$ 4.317,12;15/05/2035
Tesouro IPCA+ com Juros Semestrais 2037;IPCA + 7,69%;R$ 4.276,46;15/05/2037
Tesouro IPCA+ 2040;IPCA + 7,46%;R$ 1.746,33;15/08/2040
Tesouro IPCA+ com Juros Semestrais 2040;IPCA + 7,57%;R$ 4.149,52;15/08/2040
Tesouro IPCA+ 2045;IPCA + 7,44%;R$ 1.248,66;15/05/2045
Tesouro IPCA+ com Juros Semestrais 2045;IPCA + 7,54%;R$ 4.132,95;15/05/2045
Tesouro IPCA+ 2050;IPCA + 7,40%;R$ 866,28;15/08/2050
Tesouro IPCA+ com Juros Semestrais 2050;IPCA + 7,51%;R$ 3.999,87;15/08/2050
Tesouro IPCA+ com Juros Semestrais 2055;IPCA + 7,47%;R$ 4.041,82;15/05/2055
Tesouro IPCA+ com Juros Semestrais 2060;IPCA + 7,46%;R$ 3.940,01;15/08/2060
Tesouro Renda+ Aposentadoria Extra 2030;IPCA + 7,59%;R$ 1.961,05;15/12/2049
Tesouro Renda+ Aposentadoria Extra 2035;IPCA + 7,47%;R$ 1.387,68;15/12/2054
Tesouro Renda+ Aposentadoria Extra 2040;IPCA + 7,39%;R$ 985,20;15/12/2059
Tesouro Renda+ Aposentadoria Extra 2045;IPCA + 7,36%;R$ 696,39;15/12/2064
Tesouro Renda+ Aposentadoria Extra 2050;IPCA + 7,32%;R$ 494,95;15/12/2069
Tesouro Renda+ Aposentadoria Extra 2055;IPCA + 7,30%;R$ 350,74;15/12/2074
Tesouro Renda+ Aposentadoria Extra 2060;IPCA + 7,30%;R$ 247,10;15/12/2079
Tesouro Renda+ Aposentadoria Extra 2065;IPCA + 7,30%;R$ 174,10;15/12/2084
Tesouro Educa+ 2026;IPCA + 7,88%;R$ 3.506,43;15/12/2030
Tesouro Educa+ 2027;IPCA + 7,94%;R$ 3.847,92;15/12/2031
Tesouro Educa+ 2028;IPCA + 8,00%;R$ 3.559,25;15/12/2032
Tesouro Educa+ 2029;IPCA + 8,00%;R$ 3.297,14;15/12/2033
Tesouro Educa+ 2030;IPCA + 7,96%;R$ 3.060,10;15/12/2034
Tesouro Educa+ 2031;IPCA + 7,90%;R$ 2.845,82;15/12/2035
Tesouro Educa+ 2032;IPCA + 7,84%;R$ 2.649,69;15/12/2036
Tesouro Educa+ 2033;IPCA + 7,76%;R$ 2.473,95;15/12/2037
Tesouro Educa+ 2034;IPCA + 7,69%;R$ 2.311,65;15/12/2038
Tesouro Educa+ 2035;IPCA + 7,62%;R$ 2.162,75;15/12/2039
Tesouro Educa+ 2036;IPCA + 7,57%;R$ 2.021,23;15/12/2040
Tesouro Educa+ 2037;IPCA + 7,52%;R$ 1.890,66;15/12/2041
Tesouro Educa+ 2038;IPCA + 7,49%;R$ 1.765,71;15/12/2042
Tesouro Educa+ 2039;IPCA + 7,47%;R$ 1.647,56;15/12/2043
Tesouro Educa+ 2040;IPCA + 7,45%;R$ 1.538,00;15/12/2044
Tesouro Educa+ 2041;IPCA + 7,45%;R$ 1.431,95;15/12/2045
Tesouro Educa+ 2042;IPCA + 7,44%;R$ 1.335,48;15/12/2046
Tesouro Educa+ 2043;IPCA + 7,44%;R$ 1.243,70;15/12/2047
Tesouro Educa+ 2044;IPCA + 7,43%;R$ 1.160,34;15/12/2048
Tesouro IGPM+ com Juros Semestrais 2031;IGP-M + 8,02%;R$ 7.625,78;01/01/2031
Tesouro Reserva 2036;SELIC;R$ 10,955040;01/01/2036
